geolocationLongitude,geolocationLatitude,geolocationAccuracy,geolocationAltitude,geolocationAltitudeAccuracy,geolocationHeading,geolocationSpeed,geolocationTimestamp,deviceMotionX,deviceMotionY,deviceMotionZ,deviceMotionTimestamp,deviceOrientationTrueHeading,deviceOrientationMagneticHeading,deviceOrientationHeadingAccuracy,deviceOrientationTimestamp,gyroscopeX,gyroscopeY,gyroscopeZ,gyroscopeTimestamp
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.0706939697265625,9.181304931640625,-0.920562744140625,1571156549358,,,,,-0.0978240966796875,-0.010040283203125,-0.030975341796875,1571156549358
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.8112640380859375,9.499557495117188,-1.2579345703125,1571156549433,,,,,-0.0630035400390625,-0.0043487548828125,-0.0118255615234375,1571156549418
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.8112640380859375,9.499557495117188,-1.2579345703125,1571156549433,,,,,-0.0281982421875,0.0255889892578125,0.020751953125,1571156549488
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.2178497314453125,8.842727661132812,-1.644378662109375,1571156549511,,,,,-0.0281982421875,0.0255889892578125,0.020751953125,1571156549488
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.775177001953125,9.193267822265625,-1.7293243408203125,1571156549589,,,,,-0.0253448486328125,-0.023681640625,-0.001251220703125,1571156549567
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.775177001953125,9.193267822265625,-1.7293243408203125,1571156549589,,,,,-0.0361328125,0.0103302001953125,-0.0045013427734375,1571156549638
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.1949310302734375,10.314315795898438,-1.1981201171875,1571156549664,,,,,-0.0367431640625,0.012359619140625,-0.0448150634765625,1571156549664
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.1949310302734375,10.314315795898438,-1.1981201171875,1571156549664,,,,,-0.0141448974609375,-0.00433349609375,-0.0590667724609375,1571156549718
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,-0.954833984375,11.057281494140625,-0.7733917236328125,1571156549741,,,,,0.05548095703125,0.0119476318359375,-0.0236358642578125,1571156549798
-38.5741929,-3.7522393,3.9000000953674316,16.3985595703125,,143.0076446533203,10.1649751663208,1571156547000,0.4138641357421875,10.741424560546875,-1.2591400146484375,1571156549818,,,,,0.05548095703125,0.0119476318359375,-0.0236358642578125,1571156549798
